metric,value
T_K,6.230000000000e+02
p_C7H14_g_bar,1.000000000000e+00
p_H2_g_bar,1.500000000000e-01
p_C7H8_g_bar,1.000000000000e-01
converged,1
max_abs_dtheta_dt,7.298837090275e-10
theta_vacant_sites,4.738780254906e-01
occupied_sites,5.261219745094e-01
theta_carbon_pool,1.244069081801e-01
carbon_pool_cap,1.100000000000e-01
carbon_pool_violation,1.440690818013e-02
carbon_pool_factor,2.862204682024e-05
net_dehydrogenation,-1.578568712610e+01
toluene_desorption,0.000000000000e+00
h2_desorption,0.000000000000e+00
mch_consumption,0.000000000000e+00
deh_flux_min,-1.578568712610e+01
deh_flux_max,-1.578568712610e+01
deh_flux_span,3.410605131648e-13
